Feature_1,Feature_2,Feature_3,Feature_4,Feature_5
69.41329221520137,86.67782803352215,82.72498576777501,10.489543307893934,-1
21.29586975923591,89.26653840493867,18.864744155203173,22.815693939685655,1
85.05790877256764,41.039535220219506,6.147917397133062,10.855597306299225,1
4.906374842072514,37.925121199610935,12.342218050664611,21.275972245507713,-1
74.4697846989397,27.90391222307732,84.0251782834357,4.07080730016911,-1
58.59785419791484,3.926331265709204,71.97435490252334,87.75918819248841,-1
8.918052803771525,45.37159086947084,29.59557633954294,66.20985551911394,-1
27.122785411631824,42.08421811992411,88.21701907840949,99.45557058473193,1
75.2631541083604,86.41416764407015,62.17307460699578,12.551584485786238,1
61.10279169393239,3.100160214662895,47.14059008775335,31.05914768420873,-1
74.96348683578991,45.266603377802575,60.65148318654193,3.5805754877007545,-1
45.91386036198695,4.072962183262552,63.95664921413723,89.07842571710167,1
25.812832333409787,21.945792656172415,57.72503853266379,15.916219495312578,-1
80.07473261809052,22.935365556231968,8.424968573306257,19.48374367653809,1
89.19845594841163,62.73621592407537,35.19906968210902,5.771230956067342,-1
8.215057543011984,50.51296882813816,67.72508421262665,89.62330653351016,-1
85.59223209958368,56.30714429457575,51.32611498169419,29.706780684015122,1
52.53299733452058,70.26698688794897,2.606286060069607,90.20056251605614,-1
55.34296454117439,2.7420600485352886,64.16659879198372,60.783978287086626,1
88.00828243669373,43.94914382772384,88.78753732256509,63.95080151404361,1
