Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6
81.59199144474212,58.09719784704658,42.26712637689231,9.757139262290282,57.823965488137254,1
70.39878610957184,16.313838181286044,78.24787813433329,67.71218129252932,42.91886818038023,-1
82.10152611618417,16.137840788752488,63.78754805120228,71.17327868229,9.471133249719498,-1
33.530220959894784,42.817527773759224,31.75823141413471,0.2929287318751528,67.67021828320145,-1
71.07035848114813,31.191271921724063,90.35223765655033,13.82843269654308,74.36474738782266,1
36.56672546630817,10.183451047225578,78.38903434432355,53.38447752328186,78.45346289450099,-1
92.79572045126885,87.16734256660833,66.25949761354657,33.89679456712976,17.843672580346947,-1
86.9513414737977,9.87685926968277,77.15563978421525,15.828529050362528,88.69159313299265,1
96.36924306909637,82.24340557660852,67.67777805613913,67.46826705334696,57.175233461153184,-1
63.375033542828575,8.018249613523254,26.013513486598704,52.794290355907506,7.9741244549942465,-1
44.77619930577007,56.72780682236833,31.340800645849377,93.84176040827482,18.959917826948956,-1
16.04974047176735,6.949280401828806,29.81235604982335,47.05683009821486,50.15948569206099,1
26.46473727841413,95.99952636876992,45.08570090632096,14.01119664633148,57.69263954656334,-1
25.62014977502731,33.87492913190098,9.472524462255993,85.29982431644707,70.72141082366939,1
97.6352566432657,32.29737142164537,71.70492421658436,15.16589642043309,30.691300802319777,1
37.622054577592955,15.84466980338295,9.892188940882274,63.37899129946158,34.11497435564179,1
45.10160503429484,18.335252252209767,64.08017884551141,80.03686510931148,63.960586097853025,1
7.113702010559497,80.93831491975496,76.4878539359857,62.60450589259759,62.07815085354604,1
76.45915093982967,53.9884398320275,32.296292896251856,39.05778236448675,8.860739984977318,1
87.21880847001148,13.32586620433891,73.82522006871478,72.72284309882005,24.199713737756046,1
66.01401596297259,65.35258500964758,7.112228159981882,36.72989663258581,90.18814137004844,1
47.191820755082894,32.59057302847212,62.522935977005915,75.22313139764056,40.38717264581447,-1
50.45618781183834,55.42329505202408,28.293097723131254,53.80409008576423,53.87147739301488,1
46.362321230818715,87.4072892829331,75.04918453170826,82.57504254383305,33.005067309223634,1
68.03788641320435,80.98081297099024,95.59748032232484,7.494871441496054,87.51407593978283,1
